"Employee Name","Leave Type","Entitlement","Used","Balance","Year"
"Hannah Johnson","Compensatory Leave","10.00","0.00","10.00","2025"
"Amaka Nwosu","Compensatory Leave","10.00","0.00","10.00","2025"
"Tunde Adebayo","Compensatory Leave","10.00","0.00","10.00","2025"
"Kemi Adeyemi","Compensatory Leave","10.00","0.00","10.00","2025"
"Olufunke Ogunleye","Compensatory Leave","10.00","0.00","10.00","2025"
"Ibrahim Suleiman","Compensatory Leave","10.00","0.00","10.00","2025"
"Ngozi Okeke","Compensatory Leave","10.00","0.00","10.00","2025"
"Ifeanyi Uzoho","Compensatory Leave","10.00","0.00","10.00","2025"
"Fatima Mohammed","Compensatory Leave","10.00","0.00","10.00","2025"
"Segun Oladipo","Compensatory Leave","10.00","0.00","10.00","2025"
"Chioma Eze","Compensatory Leave","10.00","0.00","10.00","2025"
"Adamu Lawal","Compensatory Leave","9.00","0.00","9.00","2025"
"Oluchi Chukwu","Compensatory Leave","9.00","0.00","9.00","2025"
"Sulaiman Jimoh","Compensatory Leave","9.00","0.00","9.00","2025"
"Funmilayo Ayodele","Compensatory Leave","9.00","0.00","9.00","2025"
"Ify Okoro","Compensatory Leave","9.00","0.00","9.00","2025"
"Victor Umeh","Compensatory Leave","9.00","0.00","9.00","2025"
"Hauwa Aliyu","Compensatory Leave","9.00","0.00","9.00","2025"
"Victor Umeh","Annual Leave","20.00","0.00","20.00","2025"
"Adanna Nwachukwu","Annual Leave","20.00","0.00","20.00","2025"
"Sadiq Lawal","Annual Leave","20.00","0.00","20.00","2025"
"Yewande Ajayi","Annual Leave","20.00","0.00","20.00","2025"
"Chukwuemeka Nnaji","Annual Leave","20.00","0.00","20.00","2025"
"Rashida Bello","Annual Leave","20.00","0.00","20.00","2025"
"Bolaji Ojo","Annual Leave","20.00","0.00","20.00","2025"
"Adefemi Ogunbiyi","Annual Leave","20.00","0.00","20.00","2025"
"Ahmed Abdallah","Sick Leave","15.00","0.00","15.00","2025"
"Ify Okoro","Sick Leave","15.00","0.00","15.00","2025"
"Victor Umeh","Sick Leave","15.00","0.00","15.00","2025"
"Hauwa Aliyu","Sick Leave","15.00","0.00","15.00","2025"
"Joshua Eze","Sick Leave","15.00","0.00","15.00","2025"
"Olabisi Balogun","Sick Leave","15.00","0.00","15.00","2025"
"Abdullahi Danjuma","Sick Leave","15.00","0.00","15.00","2025"
"Chukwuemeka Nnaji","Sick Leave","15.00","0.00","15.00","2025"
"Rashida Bello","Sick Leave","15.00","0.00","15.00","2025"
"Bolaji Ojo","Sick Leave","15.00","0.00","15.00","2025"
"Adefemi Ogunbiyi","Sick Leave","15.00","0.00","15.00","2025"
"Precious Uket","Sick Leave","15.00","0.00","15.00","2025"
"Bayo Williams","Sick Leave","15.00","0.00","15.00","2025"
"Ndidi Nweke","Sick Leave","15.00","0.00","15.00","2025"
"Olufunke Ogunleye","Unpaid Leave","0.00","0.00","0.00","2025"
"Ibrahim Suleiman","Unpaid Leave","0.00","0.00","0.00","2025"
"Ngozi Okeke","Unpaid Leave","0.00","0.00","0.00","2025"
"Ifeanyi Uzoho","Unpaid Leave","0.00","0.00","0.00","2025"
"Babatunde Akintola","Unpaid Leave","0.00","0.00","0.00","2025"
"Abdullahi Danjuma","Unpaid Leave","0.00","0.00","0.00","2025"
"Yetunde Akinbode","Unpaid Leave","0.00","0.00","0.00","2025"
"Emeka Okoro","Unpaid Leave","0.00","0.00","0.00","2025"
"Chukwuemeka Iheanacho","Unpaid Leave","0.00","0.00","0.00","2025"
"Comfort Obi","Unpaid Leave","0.00","0.00","0.00","2025"
"Tiamiyu Adekunle","Unpaid Leave","0.00","0.00","0.00","2025"
"Ejiro Osagie","Unpaid Leave","0.00","0.00","0.00","2025"
"Adanna Nwachukwu","Unpaid Leave","0.00","0.00","0.00","2025"
"Sadiq Lawal","Unpaid Leave","0.00","0.00","0.00","2025"
"Yewande Ajayi","Unpaid Leave","0.00","0.00","0.00","2025"
"Chukwuemeka Nnaji","Unpaid Leave","0.00","0.00","0.00","2025"
"Rashida Bello","Unpaid Leave","0.00","0.00","0.00","2025"
"Tiamiyu Adekunle","Annual Leave","20.00","0.00","20.00","2025"
"Bayo Williams","Annual Leave","20.00","0.00","20.00","2025"
"Ndidi Nweke","Annual Leave","20.00","0.00","20.00","2025"
"Hannah Brown","Compensatory Leave","10.00","0.00","10.00","2025"
"Bob Garcia","Compensatory Leave","10.00","0.00","10.00","2025"
"Ian Martinez","Compensatory Leave","10.00","0.00","10.00","2025"
"Chinedu Okafor","Compensatory Leave","10.00","0.00","10.00","2025"
"Musa Abdullahi","Compensatory Leave","10.00","0.00","10.00","2025"
"Aisha Bello","Compensatory Leave","10.00","0.00","10.00","2025"
"Yemi Afolabi","Compensatory Leave","10.00","0.00","10.00","2025"
"Halima Usman","Compensatory Leave","10.00","0.00","10.00","2025"
"Babatunde Akintola","Compensatory Leave","10.00","0.00","10.00","2025"
"Uchechukwu Nnamani","Compensatory Leave","10.00","0.00","10.00","2025"
"Binta Adamu","Compensatory Leave","9.00","0.00","9.00","2025"
"Kehinde Kolawole","Compensatory Leave","9.00","0.00","9.00","2025"
"Nneka Ibekwe","Compensatory Leave","9.00","0.00","9.00","2025"
"Ahmed Abdallah","Compensatory Leave","9.00","0.00","9.00","2025"
"Chukwuemeka Nnaji","Compensatory Leave","9.00","0.00","9.00","2025"
"Rashida Bello","Compensatory Leave","9.00","0.00","9.00","2025"
"Bolaji Ojo","Compensatory Leave","9.00","0.00","9.00","2025"
"Adefemi Ogunbiyi","Compensatory Leave","9.00","0.00","9.00","2025"
"Precious Uket","Compensatory Leave","9.00","0.00","9.00","2025"
"Olabisi Balogun","Annual Leave","20.00","0.00","20.00","2025"
"Abdullahi Danjuma","Annual Leave","20.00","0.00","20.00","2025"
"Yetunde Akinbode","Annual Leave","20.00","0.00","20.00","2025"
"Emeka Okoro","Annual Leave","20.00","0.00","20.00","2025"
"Zainab Musa","Annual Leave","20.00","0.00","20.00","2025"
"Chukwuemeka Iheanacho","Annual Leave","20.00","0.00","20.00","2025"
"Comfort Obi","Annual Leave","20.00","0.00","20.00","2025"
"Binta Adamu","Unpaid Leave","0.00","0.00","0.00","2025"
"Kehinde Kolawole","Unpaid Leave","0.00","0.00","0.00","2025"
"Nneka Ibekwe","Unpaid Leave","0.00","0.00","0.00","2025"
"Adamu Lawal","Unpaid Leave","0.00","0.00","0.00","2025"
"Oluchi Chukwu","Unpaid Leave","0.00","0.00","0.00","2025"
"Sulaiman Jimoh","Unpaid Leave","0.00","0.00","0.00","2025"
"Funmilayo Ayodele","Unpaid Leave","0.00","0.00","0.00","2025"
"Ahmed Abdallah","Unpaid Leave","0.00","0.00","0.00","2025"
"Ify Okoro","Unpaid Leave","0.00","0.00","0.00","2025"
"Victor Umeh","Unpaid Leave","0.00","0.00","0.00","2025"
"Hauwa Aliyu","Unpaid Leave","0.00","0.00","0.00","2025"
"Joshua Eze","Unpaid Leave","0.00","0.00","0.00","2025"
"Olabisi Balogun","Unpaid Leave","0.00","0.00","0.00","2025"
"Zainab Musa","Unpaid Leave","0.00","0.00","0.00","2025"
"Hannah Brown","Annual Leave","20.00","0.00","20.00","2025"
"Funmilayo Ayodele","Annual Leave","20.00","0.00","20.00","2025"
"Ify Okoro","Annual Leave","20.00","0.00","20.00","2025"
"Joshua Eze","Compensatory Leave","9.00","0.00","9.00","2025"
"Olabisi Balogun","Compensatory Leave","9.00","0.00","9.00","2025"
"Abdullahi Danjuma","Compensatory Leave","9.00","0.00","9.00","2025"
"Yetunde Akinbode","Compensatory Leave","9.00","0.00","9.00","2025"
"Emeka Okoro","Compensatory Leave","9.00","0.00","9.00","2025"
"Zainab Musa","Compensatory Leave","9.00","0.00","9.00","2025"
"Chukwuemeka Iheanacho","Compensatory Leave","9.00","0.00","9.00","2025"
"Comfort Obi","Compensatory Leave","9.00","0.00","9.00","2025"
"Tiamiyu Adekunle","Compensatory Leave","9.00","0.00","9.00","2025"
"Ejiro Osagie","Compensatory Leave","9.00","0.00","9.00","2025"
"Adanna Nwachukwu","Compensatory Leave","9.00","0.00","9.00","2025"
"Sadiq Lawal","Compensatory Leave","9.00","0.00","9.00","2025"
"Yewande Ajayi","Compensatory Leave","9.00","0.00","9.00","2025"
"Bayo Williams","Compensatory Leave","9.00","0.00","9.00","2025"
"Ndidi Nweke","Compensatory Leave","9.00","0.00","9.00","2025"
"Hauwa Aliyu","Annual Leave","20.00","0.00","20.00","2025"
"Ejiro Osagie","Annual Leave","20.00","0.00","20.00","2025"
"Bolaji Ojo","Unpaid Leave","0.00","0.00","0.00","2025"
"Adefemi Ogunbiyi","Unpaid Leave","0.00","0.00","0.00","2025"
"Precious Uket","Unpaid Leave","0.00","0.00","0.00","2025"
"Bayo Williams","Unpaid Leave","0.00","0.00","0.00","2025"
"Ndidi Nweke","Unpaid Leave","0.00","0.00","0.00","2025"
"Joshua Eze","Annual Leave","20.00","0.00","20.00","2025"
