"Employee Number","First Name","Last Name","Bank Name","Bank Account Number","Net Salary (₦)"
"EMP765","Taye","Olopade","Zenith Bank","2811967841","333,004.84"
"EMP777","Osagie","Aluko","First Bank","7393195616","278,301.99"
"EMP783","Oluwatosin","Oluwole","Union Bank","8387664437","580,774.31"
"EMP786","Oluwafunmilayo","Ogunbanjo","Ecobank","4713453204","276,736.06"
"EMP792","Adewale","Nwachinemere","UBA","1983297492","344,616.89"
"EMP810","Oluwaseun","Egbuna","Fidelity Bank","1322401182","329,948.53"
"EMP812","Funke","Chukwu","Polaris Bank","5667181604","537,420.68"
"EMP814","Omoniyi","Adewale","Access Bank","8380507338","319,824.25"
"EMP818","Eniola","Nwokoye","First Bank","6491309593","225,619.64"
"EMP821","Itoro","Nwokoye","First Bank","6464693977","246,779.27"
"EMP823","Bamidele","Chukwu","Ecobank","7845366946","292,013.41"
"EMP830","Tolu","Adelaja","Polaris Bank","1230249217","311,358.07"
"EMP833","Eromosele","Okegbenro","Ecobank","2926780541","171,035.41"
"EMP836","Sola","Ike","Fidelity Bank","7575259637","320,274.52"
"EMP847","Ifeoma","Aluko","Ecobank","6583444930","275,347.29"
"EMP852","Chidera","Onyekachi","Union Bank","6711463258","182,731.42"
"EMP854","Feyisayo","Olorunfemi","Fidelity Bank","9894847574","366,497.14"
"EMP858","Somto","Emefiele","Polaris Bank","4888749350","584,393.05"
"EMP859","Ayobami","Nwokoye","UBA","7517938612","368,205.17"
"EMP861","Chimamanda","Okafor","Fidelity Bank","7374584386","277,842.25"
"EMP865","Ayoola","Chukwu","Ecobank","4683935600","218,974.90"
"EMP869","Ebuka","Egbuna","Fidelity Bank","3294092753","180,264.67"
"EMP871","Ijeoma","Okeke","Stanbic IBTC","9229469952","202,211.72"
"EMP873","Adaeze","Okafor","Union Bank","5694628398","316,601.61"
"EMP877","Yewande","Akanni","GTBank","2627677155","244,478.00"
"EMP881","Temiloluwa","Nwachinemere","Union Bank","1245522987","261,686.50"
"EMP883","Yemi","Okorie","Fidelity Bank","7415801613","177,602.15"
"EMP884","Ireti","Adeyemi","Ecobank","4748302739","332,816.60"
"EMP888","Tolu","Iwu","GTBank","6534540349","306,413.85"
"EMP891","Taye","Adediran","Union Bank","9986353481","192,887.12"
"EMP896","Ihuoma","Egbuna","Fidelity Bank","7760554363","290,845.24"
"EMP920","Tope","Ogunlolu","Ecobank","5071897791","486,837.64"
"EMP925","Somto","Aluko","Fidelity Bank","9526836552","161,898.92"
"EMP926","Taye","Adejumo","First Bank","6320115677","311,427.12"
"EMP928","Yewande","Okegbenro","Fidelity Bank","6009268066","288,809.49"
"EMP934","Chidera","Ogunleye","Ecobank","7792729530","225,785.70"
"EMP949","Temiloluwa","Nwokoye","GTBank","6882074066","219,426.86"
"EMP950","Ijeoma","Olawale","Polaris Bank","6458544482","181,388.98"
"EMP952","Oluwaseun","Adebanjo","First Bank","9196564761","201,160.54"
"EMP954","Adewale","Adekeye","Union Bank","1547374338","145,514.85"
"EMP955","Tolu","Ogunlana","Access Bank","6789448659","183,514.93"
"EMP960","Kunle","Adebanjo","Union Bank","5184564874","267,186.54"
"EMP967","Oluwafunmilayo","Okegbenro","GTBank","3660223333","191,328.18"
"EMP968","Temitope","Adebayo","UBA","6206015111","344,443.26"
"EMP973","Tolu","Ike","Access Bank","5686850445","232,993.94"
"EMP975","Ayobami","Akanni","First Bank","4311931853","240,173.76"
"EMP977","Segun","Anosike","GTBank","9343730920","209,761.13"
"EMP982","Sopuruchukwu","Agboola","Polaris Bank","9623534576","270,211.17"
"EMP987","Amarachi","Adewuyi","Fidelity Bank","8478529823","236,213.89"
"EMP990","Tobiloba","Onasanya","Access Bank","7380780055","260,279.99"
"HR02","Tyler","Duncan Sotubo","Guaranty Trust Bank (GTBank)","0123465462","237,800.00"
"HR09","Marcus","Liadi","076","01230912312","113,036.00"
