"Employee Number","First Name","Last Name","Email","Gross Salary (₦)","PAYE Tax (₦)","NHF Contribution (₦)","Employee Pension (₦)","Reimbursement Travel (₦)","Net Salary (₦)","Employer Pension (₦)","Payroll Month","Issued Date"
"EMP034","Sulaiman","Jimoh","sulaiman.jimoh@example.com","446,669.00","58,595.41","0.00","30,373.49","","357,700.10","37,966.87","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP035","Funmilayo","Ayodele","funmilayo.ayodele@example.com","421,862.58","54,156.45","0.00","28,686.65","","339,019.48","35,858.32","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP036","Ahmed","Abdallah","ahmed.abdallah@example.com","450,629.33","59,304.08","0.00","30,642.79","","360,682.46","38,303.49","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP037","Ify","Okoro","ify.okoro@example.com","472,616.92","63,238.63","0.00","32,137.95","","377,240.34","40,172.44","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP038","Victor","Umeh","victor.umeh@example.com","396,983.25","49,704.44","0.00","26,994.86","","320,283.95","33,743.58","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP039","Hauwa","Aliyu","hauwa.aliyu@example.com","432,610.00","56,079.63","0.00","29,417.48","","347,112.89","36,771.85","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP040","Joshua","Eze","joshua.eze@example.com","393,305.17","49,046.27","0.00","26,744.75","","317,514.15","33,430.94","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP041","Olabisi","Balogun","olabisi.balogun@example.com","409,035.58","51,861.13","0.00","27,814.42","","329,360.03","34,768.02","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP042","Abdullahi","Danjuma","abdullahi.danjuma@example.com","323,485.17","37,816.68","0.00","21,996.99","","263,671.50","27,496.24","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP043","Yetunde","Akinbode","yetunde.akinbode@example.com","495,145.75","67,270.03","0.00","33,669.91","","394,205.81","42,087.39","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP044","Emeka","Okoro","emeka.okoro@example.com","432,384.08","56,039.20","0.00","29,402.12","","346,942.76","36,752.65","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP045","Zainab","Musa","zainab.musa@example.com","464,323.75","61,754.62","0.00","31,574.01","","370,995.12","39,467.52","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP046","Chukwuemeka","Iheanacho","chukwuemeka.iheanacho@example.com","286,780.67","32,069.64","0.00","19,501.09","","235,209.94","24,376.36","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP047","Comfort","Obi","comfort.obi@example.com","413,249.42","52,615.17","0.00","28,100.96","","332,533.29","35,126.20","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP048","Tiamiyu","Adekunle","tiamiyu.adekunle@example.com","314,016.00","36,334.04","0.00","21,353.09","","256,328.87","26,691.36","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP049","Ejiro","Osagie","ejiro.osagie@example.com","370,429.67","45,167.06","0.00","25,189.22","","300,073.39","31,486.52","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP050","Ibrahim","Gambo","ibrahim.gambo@example.com","282,072.58","31,332.46","0.00","19,180.93","50,000.00","281,559.19","23,976.17","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
"EMP051","Adanna","Nwachukwu","adanna.nwachukwu@example.com","368,265.83","44,828.26","0.00","25,042.08","","298,395.49","31,302.59","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP052","Sadiq","Lawal","sadiq.lawal@example.com","407,441.50","51,575.88","0.00","27,706.02","","328,159.60","34,632.53","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP053","Yewande","Ajayi","yewande.ajayi@example.com","482,650.08","65,034.00","0.00","32,820.21","","384,795.87","41,025.26","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP054","Chukwuemeka","Nnaji","chukwuemeka.nnaji@example.com","440,968.83","57,575.39","0.00","29,985.88","","353,407.56","37,482.35","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP055","Rashida","Bello","rashida.bello@example.com","283,477.58","31,552.45","0.00","19,276.47","","232,648.66","24,095.59","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP056","Bolaji","Ojo","bolaji.ojo@example.com","454,464.75","59,990.41","0.00","30,903.60","","363,570.74","38,629.50","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP057","Adefemi","Ogunbiyi","adefemi.ogunbiyi@example.com","316,251.92","36,684.13","0.00","21,505.13","","258,062.66","26,881.41","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP058","Precious","Uket","precious.uket@example.com","317,206.58","36,833.60","0.00","21,570.05","","258,802.93","26,962.56","2025-07","Sun Jul 20 2025 15:51:04 GMT+0100 (British Summer Time)"
"EMP059","Bayo","Williams","bayo.williams@example.com","322,565.83","37,672.73","0.00","21,934.48","","262,958.62","27,418.10","2025-07","Sun Jul 20 2025 15:51:05 GMT+0100 (British Summer Time)"
"EMP060","Ndidi","Nweke","ndidi.nweke@example.com","334,764.83","39,582.81","0.00","22,764.01","","272,418.01","28,455.01","2025-07","Sun Jul 20 2025 15:51:03 GMT+0100 (British Summer Time)"
