"Employee Number","First Name","Last Name","Email","Gross Salary (₦)","PAYE Tax (₦)","NHF Contribution (₦)","Employee Pension (₦)","Net Salary (₦)","Employer Pension (₦)","Payroll Month","Issued Date"
"EMP381","Adeola","Onwudiwe","adeola.onwudiwe@company.ng","688,524.58","102,931.58","0.00","41,311.47","544,281.53","51,639.34","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP384","Itoro","Oshodi","itoro.oshodi@company.ng","313,487.83","36,672.67","0.00","18,809.27","258,005.89","23,511.59","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP392","Ireti","Ogunleye","ireti.ogunleye@company.ng","309,313.50","36,013.46","0.00","18,558.81","254,741.23","23,198.51","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP396","Obiora","Adewuyi","obiora.adewuyi@company.ng","337,077.67","40,397.97","0.00","20,224.66","276,455.04","25,280.83","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP400","Bolanle","Onwubiko","bolanle.onwubiko@company.ng","196,957.50","18,307.95","0.00","11,817.45","166,832.10","14,771.81","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP405","Chijioke","Ogunlolu","chijioke.ogunlolu@company.ng","371,622.33","45,853.27","0.00","22,297.34","303,471.72","27,871.67","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP424","Chidera","Okorie","chidera.okorie@company.ng","188,762.58","17,137.07","0.00","11,325.75","160,299.76","14,157.19","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP427","Opeyemi","Okonkwo","opeyemi.okonkwo@company.ng","296,176.25","33,938.82","0.00","17,770.57","244,466.86","22,213.22","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP438","Tosin","Idowu","tosin.idowu@company.ng","263,094.17","28,714.50","0.00","15,785.65","218,594.02","19,732.06","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP443","Temitope","Idowu","temitope.idowu@company.ng","407,937.17","52,291.17","0.00","24,476.23","331,169.77","30,595.29","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP444","Obianuju","Oshodi","obianuju.oshodi@company.ng","293,260.50","33,478.37","0.00","17,595.63","242,186.50","21,994.54","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP448","Damilola","Onoh","damilola.onoh@company.ng","171,088.83","14,611.84","0.00","10,265.33","146,211.66","12,831.66","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP452","Nnamdi","Nwankwo","nnamdi.nwankwo@company.ng","349,030.33","42,285.54","0.00","20,941.82","285,802.97","26,177.27","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP460","Bukola","Ogunleye","bukola.ogunleye@company.ng","239,073.33","24,921.13","0.00","14,344.40","199,807.80","17,930.50","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP463","Ifeoma","Nwosu","ifeoma.nwosu@company.ng","251,026.67","26,808.80","0.00","15,061.60","209,156.27","18,827.00","2026-01","Mon Jan 26 2026 11:12:18 GMT+0000 (Greenwich Mean Time)"
"EMP467","Feyisayo","Olujimi","feyisayo.olujimi@company.ng","318,880.42","37,524.26","0.00","19,132.83","262,223.33","23,916.03","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP470","Somto","Agboola","somto.agboola@company.ng","365,843.50","44,940.67","0.00","21,950.61","298,952.22","27,438.26","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP473","Funmilayo","Okegbenro","funmilayo.okegbenro@company.ng","347,240.92","42,002.95","0.00","20,834.45","284,403.52","26,043.07","2026-01","Mon Jan 26 2026 11:12:18 GMT+0000 (Greenwich Mean Time)"
"EMP479","Ezinachi","Onoh","ezinachi.onoh@company.ng","196,590.50","18,255.52","0.00","11,795.43","166,539.55","14,744.29","2026-01","Mon Jan 26 2026 11:12:18 GMT+0000 (Greenwich Mean Time)"
"EMP487","Tochukwu","Onwubiko","tochukwu.onwubiko@company.ng","260,477.67","28,301.30","0.00","15,628.66","216,547.71","19,535.83","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP489","Obafemi","Oyekan","obafemi.oyekan@company.ng","413,888.92","53,365.34","0.00","24,833.33","335,690.25","31,041.67","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP492","Kehinde","Egbuna","kehinde.egbuna@company.ng","201,393.58","18,970.74","0.00","12,083.61","170,339.23","15,104.52","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP498","Ebuka","Adebanjo","ebuka.adebanjo@company.ng","390,185.58","49,087.36","0.00","23,411.13","317,687.09","29,263.92","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP499","Ebuka","Anosike","ebuka.anosike@company.ng","248,105.58","26,347.50","0.00","14,886.33","206,871.75","18,607.92","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP517","Adanna","Eze","adanna.eze@company.ng","305,826.50","35,462.79","0.00","18,349.59","252,014.12","22,936.99","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP524","Chimamanda","Ogunjimi","chimamanda.ogunjimi@company.ng","187,830.42","17,003.88","0.00","11,269.83","159,556.71","14,087.28","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP525","Yemi","Adebayo","yemi.adebayo@company.ng","325,601.83","38,585.71","0.00","19,536.11","267,480.01","24,420.14","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP529","Folake","Oboh","folake.oboh@company.ng","376,525.67","46,627.60","0.00","22,591.54","307,306.53","28,239.43","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP530","Ijeoma","Iwu","ijeoma.iwu@company.ng","390,958.58","49,226.87","0.00","23,457.51","318,274.20","29,321.89","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP532","Gbemi","Okegbenro","gbemi.okegbenro@company.ng","734,044.75","111,147.06","0.00","44,042.68","578,855.01","55,053.36","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP536","Bukola","Lawal","bukola.lawal@company.ng","207,447.83","19,926.83","0.00","12,446.87","175,074.13","15,558.59","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP550","Ireti","Onyejekwe","ireti.onyejekwe@company.ng","201,277.17","18,952.36","0.00","12,076.63","170,248.18","15,095.79","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP553","Ijeoma","Onyejekwe","ijeoma.onyejekwe@company.ng","328,939.92","39,112.86","0.00","19,736.39","270,090.67","24,670.49","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP556","Tolu","Nwachukwu","tolu.nwachukwu@company.ng","179,673.17","15,838.37","0.00","10,780.39","153,054.41","13,475.49","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP559","Eromosele","Nwankwo","eromosele.nwankwo@company.ng","364,474.42","44,724.47","0.00","21,868.47","297,881.48","27,335.58","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP560","Adaeze","Eze","adaeze.eze@company.ng","248,735.17","26,446.92","0.00","14,924.11","207,364.14","18,655.14","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP564","Folake","Nwankwo","folake.nwankwo@company.ng","263,229.50","28,735.87","0.00","15,793.77","218,699.86","19,742.21","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP567","Kunle","Balogun","kunle.balogun@company.ng","725,729.08","109,646.25","0.00","43,543.75","572,539.08","54,429.68","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP570","Somto","Adigun","somto.adigun@company.ng","329,151.75","39,146.31","0.00","19,749.10","270,256.34","24,686.38","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP575","Yemi","Onyema","yemi.onyema@company.ng","454,536.33","60,701.38","0.00","27,272.18","366,562.77","34,090.22","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP577","Funke","Ogunleye","funke.ogunleye@company.ng","209,364.50","20,229.51","0.00","12,561.87","176,573.12","15,702.34","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP586","Ifeanyi","Afolabi","ifeanyi.afolabi@company.ng","200,637.67","18,851.37","0.00","12,038.26","169,748.04","15,047.83","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP588","Sola","Ogunjimi","sola.ogunjimi@company.ng","190,647.58","17,406.39","0.00","11,438.85","161,802.34","14,298.57","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP596","Omotola","Eze","omotola.eze@company.ng","371,956.92","45,906.10","0.00","22,317.41","303,733.41","27,896.77","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP616","Funke","Okoli","funke.okoli@company.ng","309,376.33","36,023.38","0.00","18,562.58","254,790.37","23,203.22","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP617","Ovie","Nwachinemere","ovie.nwachinemere@company.ng","193,229.33","17,775.27","0.00","11,593.76","163,860.30","14,492.20","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP630","Uchechi","Onyema","uchechi.onyema@company.ng","546,506.08","77,300.08","0.00","32,790.37","436,415.63","40,987.96","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP633","Obinna","Nwosu","obinna.nwosu@company.ng","313,162.08","36,621.22","0.00","18,789.73","257,751.13","23,487.16","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP643","Oluwatobi","Ezekwesili","oluwatobi.ezekwesili@company.ng","629,905.83","92,352.07","0.00","37,794.35","499,759.41","47,242.94","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP649","Olumide","Anyanwu","olumide.anyanwu@company.ng","318,910.92","37,529.08","0.00","19,134.65","262,247.19","23,918.32","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP651","Kehinde","Nwosu","kehinde.nwosu@company.ng","167,657.75","14,121.61","0.00","10,059.46","143,476.68","12,574.33","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP653","Kehinde","Ike","kehinde.ike@company.ng","242,607.92","25,479.31","0.00","14,556.47","202,572.14","18,195.59","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP655","Tope","Anosike","tope.anosike@company.ng","233,009.50","23,963.53","0.00","13,980.57","195,065.40","17,475.71","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP658","Ayobami","Agbaje","ayobami.agbaje@company.ng","405,832.50","51,911.32","0.00","24,349.95","329,571.23","30,437.44","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP661","Kehinde","Okeke","kehinde.okeke@company.ng","182,516.50","16,244.62","0.00","10,950.99","155,320.89","13,688.74","2026-01","Mon Jan 26 2026 11:12:14 GMT+0000 (Greenwich Mean Time)"
"EMP665","Chiamaka","Onwuka","chiamaka.onwuka@company.ng","252,473.42","27,037.27","0.00","15,148.41","210,287.74","18,935.51","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP670","Chidera","Okeke","chidera.okeke@company.ng","598,393.33","86,664.70","0.00","35,903.60","475,825.03","44,879.50","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP672","Nkechi","Mohammed","nkechi.mohammed@company.ng","494,040.08","67,831.02","0.00","29,642.41","396,566.65","37,053.01","2026-01","Mon Jan 26 2026 11:12:13 GMT+0000 (Greenwich Mean Time)"
"EMP674","Chikezie","Adekeye","chikezie.adekeye@company.ng","385,903.75","48,314.58","0.00","23,154.22","314,434.95","28,942.78","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
"EMP689","Ngozi","Oluwole","ngozi.oluwole@company.ng","364,000.92","44,649.69","0.00","21,840.05","297,511.18","27,300.07","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP691","Itoro","Adekeye","itoro.adekeye@company.ng","379,993.00","47,247.80","0.00","22,799.58","309,945.62","28,499.48","2026-01","Mon Jan 26 2026 11:12:17 GMT+0000 (Greenwich Mean Time)"
"EMP698","Chinonso","Idowu","chinonso.idowu@company.ng","174,131.58","15,046.59","0.00","10,447.89","148,637.10","13,059.87","2026-01","Mon Jan 26 2026 11:12:15 GMT+0000 (Greenwich Mean Time)"
"EMP703","Chiamaka","Onyeneke","chiamaka.onyeneke@company.ng","181,021.33","16,031.00","0.00","10,861.28","154,129.05","13,576.60","2026-01","Mon Jan 26 2026 11:12:16 GMT+0000 (Greenwich Mean Time)"
